大方,dà fānɡ,generous,ใจกว้าง/ไม่งก,hào phóng/rộng rãi,ໃຈກວ້າງ/ບໍ່ງົກ,généreux,気前がいい/太っ腹,통 크다/후하다,щедрый,großzügig,generoso
视觉,shì jué,"vision,",การมองเห็น/ประสาทตา,thị giác,ສາຍຕາ/ການເຫັນ,vision (sens),視覚,시각,зрение/визуальный,Sehsinn/visuell,visión (sentido)
器官,qì ɡuān,"organ,",อวัยวะ,cơ quan (trong cơ thể),ອະໄວຍະວະ,organe,器官,기관,орган,Organ,órgano
时差,shí chā,"time difference;jet lag,",เจ็ตแล็ก/ต่างเวลา,chênh lệch múi giờ/jet lag,ຄວາມແຕກຕ່າງເວລາ/jet lag,décalage horaire,時差/時差ボケ,시차/시차증,разница во времени/джетлаг,Zeitverschiebung/Jetlag,diferencia horaria/jet lag
苦恼,kǔ nǎo,"worry or unhappiness,",กลุ้มใจ/ทุกข์ใจ,khổ não/rầu rĩ,ກົງໃຈ/ກັງວົນ,chagrin/angoisse,苦悩/悩み,괴로워하다/번민하다,страдать/горевать,Kummer/Qual,aflicción/preocupación
证据,zhènɡ jù,"evidence;proof,",หลักฐาน/พยานหลักฐาน,chứng cứ/bằng chứng,ຫຼັກຖານ,preuve,証拠,증거,доказательство,Beweis,prueba/evidencia
表明,biǎo mínɡ,"indicate,",ชี้ให้เห็น/แสดงว่า,biểu thị/cho thấy,ຊີ້ໃຫ້ເຫັນ,indiquer/montrer,示す/表明する,나타내다/분명히 하다,указывать/свидетельствовать,zeigen/nahelegen,indicar/señalar
照射,zhào shè,"shine;illuminate,",ส่อง/ฉายแสง,chiếu rọi/chiếu xạ,ສ່ອງ/ສາຍແສງ,irradiation/éclairer,照射する/照らす,조사하다/비추다,облучать/освещать,bestrahlen/beleuchten,irradiar/iluminar
调整,tiáo zhěnɡ,"adjust,",ปรับ/ปรับตั้งค่า,điều chỉnh,ປັບແຕ່ງ,ajuster/régler,調整する,조정하다,настроить/откорректировать,anpassen/einstellen,ajustar
长途,chánɡ tú,"long-distance,",ทางไกล/ระยะไกล,đường dài/viễn trình,ໄລຍະໄກ,longue distance,長距離の,장거리의,дальнего следования,Langstrecken‑/fern‑,de larga distancia
倒,dǎo,"adjust,",ปรับ/สลับ/กลับด้าน,đổi/điều chỉnh (giờ/nhịp),ປັບປ່ຽນ/ກັບ,ajuster/inverser,調整する/入れ替える,바꾸다/조정하다,перестраивать/перевести (время),umstellen/anpassen,ajustar/cambiar
福音,fú yīn,"good news,",ข่าวดี/เรื่องมงคล,tin vui/tin lành,ຂ່າວດີ,bonne nouvelle,福音/朗報,복음/기쁜 소식,благая весть/радостная новость,frohe Botschaft,buena nueva
低落,dī luò,"low;depressed;downcast,",รู้สึกดรอป/หดหู่,tụt mood/chán nản,ເສົ້າ/ຫົວໃຈຕົກ,moral à plat/déprimé,気分が落ち込む,기분이 가라앉다,подать духом/унылый,niedergeschlagen,decaído/deprimido
睡眠,shuì mián,"sleep;slumber,",การนอนหลับ,giấc ngủ,ການນອນ,sommeil,睡眠,수면,сон/спячка,Schlaf,sueño
治疗,zhì liáo,"cure(a disease),",รักษา/บำบัด,điều trị/chữa trị,ຮັກສາ,traiter/soigner,治療する,치료하다,лечить/терапия,behandeln,tratar/terapia
遵守,zūn shǒu,"abide by;observe,",ปฏิบัติตาม/เคารพกฎ,tuân thủ,ປະຕິບັດຕາມ,respecter/observer,遵守する,준수하다,соблюдать/подчиняться,befolgen/beachten,cumplir/observar
规律,ɡuī lǜ,"regulation,",กฎระเบียบ/กติกา/ระเบียบวิถี,quy luật/quy tắc,ກົດໝາຍ/ກົດແບບ,règle/loi (régularité),規律/ルール,규율/법칙,закономерность/правила,Regelmäßigkeit/Gesetzmäßigkeit,regla/regularidad
一般来说,yì bān lái shuō,"generally speaking,",โดยทั่วไปแล้ว,nói chung/nhìn chung,ໂດຍທົ່ວໄປ,en général,一般的に言えば,일반적으로 말해,вообще говоря/в целом,im Allgemeinen,en general
记忆力,jì yì lì,"memory,",ความจำ,trí nhớ,ຄວາມຈື່ຈຳ,mémoire (capacité),記憶力,기억력,память (способность),Gedächtnisleistung,memoria (capacidad)
激素,jī sù,"hormone,",ฮอร์โมน,hormone,ຮໍໂມນ,hormone,ホルモン,호르몬,гормон,Hormon,hormona
衰老,shuāi lǎo,"aged;decrepit,",แก่ชรา/เสื่อมถอย,lão hoá/già đi,ແກ່ຊຣາ/ເສື່ອມ,vieillissement,老化する/衰える,노화하다/쇠하다,старение/дряхлость,Alterung/altern,envejecimiento
熬夜,áo yè,"stay up late or all night,",อดนอน/โต้รุ่ง,thức khuya/qua đêm,ນອນດຶກ/ຢືນ,thacher la nuit/veiller tard,徹夜する/夜更かし,밤새우다/늦게까지 깨어 있다,не спать всю ночь,die Nacht durchmachen,trasnochar
日光浴,rì ɡuānɡ yù,"sun bath,",อาบแดด,tắm nắng,ອາບແດດ,bain de soleil,日光浴,일광욕,солнечная ванна/загорать,Sonnenbad,tomar el sol
最佳,zuì jiā,"best,",ดีที่สุด/เหมาะสุด,tốt nhất/tối ưu,ດີທີ່ສຸດ,optimal/meilleur,最適/ベスト,최적/최고,наилучший,optimal/beste,óptimo/mejor
南美洲,nán měi zhōu,"South America,",ทวีปอเมริกาใต้,Nam Mĩ,ອາເມລິກາໃຕ້,Amérique du Sud,南アメリカ,남아메리카,Южная Америка,Südamerika,Sudamérica
非洲,fēi zhōu,"Africa,",ทวีปแอฟริกา,châu Phi,ອາຟຣິກາ,Afrique,アフリカ,아프리카,Африка,Afrika,África
黄海,huánɡ hǎi,"the Huanghai Sea;the Yellow Sea,",ทะเลเหลือง,Hoàng Hải,ທະເລເຫຼືອງ,mer Jaune,黄海,황해,Жёлтое море,Gelbes Meer,mar Amarillo
南非,nán fēi,"South Africa,",แอฟริกาใต้,Nam Phi,ຊາວດອກ/ປະເທດນານຟີ -> ນານຟີ (ສ.ອຟ.),Afrique du Sud,南アフリカ,남아프리카공화국,ЮАР/Южная Африка,Südafrika,Sudáfrica
阿根廷,ā ɡēn tínɡ,"Argentina,",อาร์เจนตินา,Argentina,ອາກັນຕິນ/ອາເຈນຕິນາ,Argentine,アルゼンチン,아르헨티나,Аргентина,Argentinien,Argentina
