阿姨,ā yí,aunt,ป้า/น้า/อา,dì/cô,ປ້າ/ນ້າ/ອາ,tante,おばさん/おば,이모/고모,тётя,Tante,tía
绿,lǜ,green,สีเขียว,xanh lá,ຂຽວ,vert,緑/グリーン,초록색/녹색,зелёный,grün,verde
马,mǎ,Horse,ม้า,ngựa,ມ້າ,cheval,馬,말,лошадь,Pferd,caballo
马上,mǎ shàng,Right off,เดี๋ยวนี้/ทันที,ngay/ ngay lập tức,ທັນທີ,tout de suite,すぐに/ただちに,곧/바로,сразу/немедленно,sofort/gleich,enseguida/de inmediato
满意,mǎn yì,Satisfied,พอใจ,hài lòng,ພໍໃຈ,satisfait,満足する,만족하다,доволен,zufrieden,satisfecho
帽子,mào zi,Hat,หมวก,mũ/nón,ໝວກ,chapeau,帽子,모자,шляпа/головной убор,Hut/Mütze,sombrero/gorra
米,mǐ,rice,ข้าวสาร/เมตร(ลติน),gạo; mét,ເຂົ້າສານ; ແມັດ,riz; mètre (m),米/メートル,쌀; 미터,рис; метр,Reis; Meter,arroz; metro
面包,miàn bāo,Bread,ขนมปัง,bánh mì,ເຂົ້າຈີ່,pain,パン,빵,хлеб (булка),Brot/Brötchen,pan
明白,míng bai,clear,เข้าใจ/ชัดเจน,hiểu rõ/rõ ràng,ເຂົ້າໃຈ/ຊັດເຈນ,comprendre/clair,分かる/明らか,이해하다/분명하다,понимать/ясный,verstehen/klar,entender/claro
拿,ná,take,หยิบ/ถือ/เอา,cầm/lấy,ຖື/ເອົາ,prendre/tenir,取る/持つ,잡다/들다,брать/держать,nehmen/halten,tomar/agarrar
奶奶,nǎi nai,grandma,คุณย่า/ยาย(ฝ่ายพ่อ),bà nội,ຍ່າ,grand-mère (paternelle),祖母（父方）,할머니(친할머니),бабушка (по отцу),Großmutter (väterl.),abuela (paterna)
南,nán,south,ทิศใต้/ภาคใต้,phía nam/miền nam,ໃຕ້,sud,南,南/남쪽,юг,Süden,sur
难,nán,difficult,ยาก,khó,ຍາກ,difficile,難しい,어렵다,трудный,schwierig,difícil
难过,nán guò,sad,เสียใจ/เศร้า,buồn/đau lòng,ເສົ້າໃຈ,triste/peiné,悲しい/つらい,슬프다/괴롭다,грустный/тяжело,traurig/betrübt,triste
年级,nián jí,grade,ชั้นปี/ระดับชั้น,khối/lớp (năm),ຊັ້ນປີ/ຊັ້ນຮຽນ,niveau/classe (année),学年/学年の〜年,학년,класс/курс (год),Klassenstufe/Jahrgang,grado (escolar)
年轻,nián qīng,Young,อายุน้อย/หนุ่มสาว,trẻ/ trẻ tuổi,ໜຸ່ມສາວ/ອາຍຸນ້ອຍ,jeune,若い,젊다,молодой,jung,joven
鸟,niǎo,bird,นก,chim,ນົກ,oiseau,鳥,새,птица,Vogel,pájaro/ave
努力,nǔ lì,Strive,พยายาม/ตั้งใจ,nỗ lực/cố gắng,ພະຍາຍາມ,s’efforcer,努力する,노력하다,стараться/усилие,sich bemühen,esforzarse
爬山,pá shān,Mountain climbing,ปีนเขา,leo núi,ປີນເຂົາ,faire de la montagne,山に登る,등산하다,взбираться на гору,bergsteigen,escalar montañas
盘子,pán zi,plate,จาน,đĩa,ຈານ,assiette/plat,皿/プレート,접시,тарелка,Teller,plato
胖,pàng,fat,อ้วน,béo/mập,ອ້ວນ,gros,太っている,뚱뚱하다,толстый,dick,gordo
啤酒,pí jiǔ,Beer,เบียร์,bia,ເບຍ,bière,ビール,맥주,пиво,Bier,cerveza
皮鞋,pí xié,leather shoes,รองเท้าหนัง,giày da,ເກີບຫນັງ,chaussures en cuir,革靴,가죽 구두,кожаные туфли,Lederschuhe,zapatos de cuero
瓶子,píng zi,bottle,ขวด,chai,ຂໍວດ,bouteille,瓶/ボトル,병,бутылка,Flasche,botella
其实,qí shí,actually,ที่จริง/จริงๆแล้ว,kỳ thực/thực ra,ແທ້ຈິງແລ້ວ,en fait/en réalité,実は/本当は,사실은/실은,на самом деле,eigentlich/tatsächlich,en realidad/la verdad
其他,qí tā,Other,อื่นๆ/อย่างอื่น,khác/những thứ khác,ອື່ນໆ,autre/d’autres,ほか/その他,기타/다른,другие/иной,andere/weitere,otros
骑,qí,ride,ขี่ (จักรยาน/ม้า),cưỡi (xe đạp/ngựa),ຂີ່ (ລົດຖີບ/ມ້າ),monter (à vélo/cheval),乗る（自転車/馬）,타다 (자전거/말),ехать верхом,reiten/fahren (Rad),montar (en bici/a caballo)
奇怪,qí guài,strange,แปลก/ประหลาด,kỳ lạ,ແປກ,étrange/bizarre,変だ/奇妙だ,이상하다,странный,seltsam,extraño/raro
起来,qǐ lái,get up,ลุกขึ้น/ขึ้น,đứng dậy; (động作)ขึ้น,ລຸກຂຶ້ນ/ຂຶ້ນ,se lever; (mouvement) vers le haut,起き上がる/立ち上がる,일어나다/올라가다,встать/подняться,aufstehen/aufwärts,levantarse/subir
起飞,qǐ fēi,take off,เครื่องขึ้น,cất cánh,ຂຶ້ນບິນ,décoller,離陸する,이륙하다,взлетать,starten (Flugzeug),despegar
清楚,qīng chu,clear,ชัดเจน/เข้าใจแจ่ม,rõ ràng/hiểu rõ,ຊັດເຈນ,clair; bien comprendre,はっきりしている/よく分かる,분명하다/또렷하다,ясный/чётко понимать,klar/deutlich,claro/entender bien
请假,qǐng jià,ask for leave,ลางาน/ลาเรียน,xin nghỉ phép,ຂໍລາ,demander congé,休暇を取る/休みを申し出る,휴가/휴식을 신청하다,просить отпуск/отгул,um Urlaub bitten,pedir permiso/días
秋,qiū,autumn,ฤดูใบไม้ร่วง,mùa thu,ລະດູໃບໄມ້ຫຼົ່ນ,automne,秋/秋季,가을,осень,Herbst,otoño
裙子,qún zi,skirt,กระโปรง,váy,ກະໂປ່ງ,jupe,スカート,치마,юбка,Rock,falda
然后,rán hòu,Then,แล้วก็/จากนั้น,sau đó/rồi thì,ແລ້ວກໍ່/ຕໍ່ມາ,ensuite/puis,それから/そして,그리고 나서,затем/потом,dann/anschließend,luego/después
热情,rè qíng,Enthusiasm,อบอุ่น/เป็นกันเอง,nhiệt情/niềm nở,ເປັນມິດ/ອົບອຸ່ນ,chaleureux/enthousiaste,親切/熱心,친절하고 따뜻함,тёплый/радушный,herzlich,cálido/amable
认为,rèn wéi,think,คิดว่า/เห็นว่า,cho rằng/cho là,ເຫັນວ່າ,estimer/penser que,〜と思う/見なす,~라고 여기다/생각하다,считать/полагать,meinen/der Ansicht sein,opinar/considerar
认真,rèn zhēn,earnest,จริงจัง/ตั้งใจ,nghiêm túc,ຈິງຈັງ,sérieux/sérieusement,まじめ/真剣に,진지하다/성실히,серьёзный,ernsthaft,serio/seriamente
容易,róng yì,easily,ง่าย/ไม่ยาก,dễ/dễ dàng,ງ່າຍ,facile,易しい,쉽다,лёгкий/простой,leicht/einfach,fácil
如果,rú guǒ,If,ถ้า/หากว่า,nếu/giả sử,ຖ້າ,si/au cas où,もし/〜なら,만약/만일,если,wenn/falls,si
伞,sǎn,umbrella,ร่ม,ô/dù,ຮ່ົມ,parapluie,傘,우산,зонт,Regenschirm,paraguas
上网,shàng wǎng,Surf the Internet,เล่นอินเทอร์เน็ต,lướt web/truy cập mạng,ເຂົ້າອິນເຕີເນັດ,aller sur Internet,ネットをする/オンラインになる,인터넷을 하다,сидеть в интернете,ins Internet gehen,navegar por Internet
生气,shēng qì,get angry,โกรธ,tức giận,ໂກດ,être en colère,怒る,화내다,злиться,sauer sein,enojarse
声音,shēng yīn,voice,เสียง (พูด/สิ่งของ),âm thanh/giọng,ສຽງ,son/voix,音/声,소리/목소리,звук/голос,Ton/Stimme,sonido/voz
试,shì,try,ลอง/ทดลอง,thử,ລອງ,essayer,試す,시험하다/시도하다,пробовать/пытаться,versuchen,probar
世界,shì jiè,world,โลก/โลกใบนี้,thế giới,ໂລກ,monde,世界,세계,мир,Welt,mundo
瘦,shòu,thin,ผอม/บาง,gầy/ốm,ຜອມ,maigre/mince,痩せている,마르다/날씬하다,худой,dünn/schlank,delgado
舒服,shū fu,comfortable,สบาย/รู้สึกดี,thoải mái/dễ chịu,ສະບາຍ,confortable/à l’aise,気持ちがいい/快適,편안하다,удобно/приятно,bequem/angenehm,cómodo/agradable
叔叔,shū shu,uncle,ลุง/อา (เพื่อนพ่อ),chú/bác (trẻ),ລຸງ/ອາ,oncle (cadet paternel),おじさん,삼촌/아저씨,дядя,Onkel,tío
树,shù,tree,ต้นไม้,cây,ຕົ້ນໄມ້,arbre,木/木の木,나무,дерево,Baum,árbol
数学,shù xué,Mathematics,คณิตศาสตร์,toán học,ຄະນິດສາດ,mathématiques,数学,수학,математика,Mathematik,matemáticas
刷牙,shuā yá,Brush one's teeth,แปรงฟัน,đánh răng,ແປງແຂ້ວ,se brosser les dents,歯を磨く,양치질하다,чистить зубы,Zähne putzen,cepillarse los dientes
双,shuāng,double/pair,คู่/สอง,đôi/cặp,ຄູ່,paire/double,双/ペア,쌍/짝,пара/двойной,Paar/doppelt,par/pareja
水平,shuǐ píng,level,ระดับ/ระดับความสามารถ,trình độ/mức độ,ລະດັບ,niveau,レベル/水準,수준,уровень,Niveau,nivel
司机,sī jī,Driver,คนขับรถ,tài xế,ຄົນຂັບລົດ,chauffeur/conducteur,運転手/ドライバー,기사/운전사,водитель,Fahrer,conductor
太阳,tài yáng,sun,พระอาทิตย์,mặt trời,ຕາເວັນ,soleil,太陽,태양,солнце,Sonne,sol
特别,tè bié,Especially,พิเศษ/โดยเฉพาะ,đặc biệt/rất,ພິເສດ/ໂດຍເຉັດ,spécial/particulièrement,特別/とても,특별히/특히,особенный/особенно,besonders,especial/muy
疼,téng,hurt,เจ็บ/ปวด,đau/đau nhức,ເຈັບ/ປວດ,avoir mal/douleur,痛い/痛む,아프다/통증,болит/боль,schmerzen/Weh tun,doler/dolor
提高,tí gāo,increase,ยกระดับ/提高,nâng cao/cải thiện,ຍົກລະດັບ/ປັບປຸງ,améliorer/hausser,向上させる/高める,향상시키다/높이다,повышать/улучшать,verbessern/erhöhen,mejorar/aumentar
体育,tǐ yù,Sports,กีฬา/พลศึกษา,thể thao,ກິລາ,sport (discipline),体育/スポーツ,체육/스포츠,физкультура/спорт,Sport,deporte
甜,tián,sweet,หวาน,ngọt,ຫວານ,sucré/doux,甘い,달다,сладкий,süß,dulce
条,tiáo,strip,ตัว/เส้น (ลน.),con/đường/chiếc (dài),ເສັ້ນ/ຕົວ (ລວມ),classif. pour objets longs,本/匹/条 (量詞),가늘고 긴 것의 양사,сч. сл. (длинное),Zählwort längliche Dinge,clasificador (objetos largos)
同事,tóng shì,Colleague,เพื่อนร่วมงาน,đồng nghiệp,ເພື່ອນຮ່ວມວຽກ,collègue,同僚/同僚,동료,коллега,Kollege/Kollegin,compañero de trabajo
同意,tóng yì,Agree,เห็นด้วย/ยอมรับ,đồng ý/tán thành,ຍອມຮັບ/ເຫັນດີ,être d’accord,同意する,동의하다,соглашаться,einverstanden sein,estar de acuerdo
头发,tóu fa,Hair,ผม/เส้นผม,tóc,ຜົມ,cheveux,髪の毛,머리카락,волосы,Haare,pelo
突然,tū rán,suddenly,ทันใด/กะทันหัน,đột nhiên,ກະທັນຫັນ,soudain,突然,갑자기,вдруг/внезапно,plötzlich,de repente
图书馆,tú shū guǎn,Library,ห้องสมุด,thư viện,ຫ້ອງສະໝຸດ,bibliothèque,図書館,도서관,библиотека,Bibliothek,biblioteca
腿,tuǐ,leg,ขา/ต้นขา,chân,ຂາ,jambe,足（脚）/もも,다리,нога,Bein,pierna
完成,wán chéng,complete,ทำเสร็จ/เสร็จสมบูรณ์,hoàn thành,ສຳເລັດ,achever/terminer,完成する,완성하다/끝내다,завершить,fertigstellen,completar
碗,wǎn,bowl,ชาม/ถ้วย,bát,ຖ້ວຍ/ຊາມ,bol,椀/おわん,사발/그릇,миска,Schüssel/Schale,cuenco/tazón
万,wàn,ten thousand,หมื่น,vạn/mười nghìn,ຫມື່ນ,dix-mille,一万,만,десять тысяч,zehntausend,diez mil
忘记,wàng jì,forget,ลืม,quên,ລືມ,oublier,忘れる,잊다,забыть,vergessen,olvidar
为,wèi,for,เพื่อ/ต่อ,vì/cho,ເພື່ອ/ໃຫ້,pour/en tant que,〜のために/〜として,위하여/위해,для/за/как,für/als,para/por
为了,wèi le,in order to,เพื่อที่จะ,để mà,ເພື່ອທີ່ຈະ,afin de/pour,〜するために,…하기 위해,чтобы/для того чтобы,um zu/zwecks,para/para que
位,wèi,position,ท่าน/ตำแหน่ง (ลน.คน),vị (lượng từ người),ທ່ານ (ລວມຄົນ),classif. personnes,位 (量詞),분 (존칭 양사),сч. сл. для людей (вежл.),Zählwort Personen (höflich),clasificador de personas
文化,wén huà,Culture,วัฒนธรรม,văn hoá,ວັດທະນະທຳ,culture,文化,문화,культура,Kultur,cultura
西,xī,west,ทิศตะวันตก,phía tây,ຕາເວັນຕົກ,ouest,西,西/서쪽,запад,Westen,oeste
习惯,xí guàn,Habit,ความเคยชิน/คุ้นเคย,thói quen; quen,ນິໄສ; ຄຸ້ນຄືນ,habitude; s’habituer,習慣; 慣れる,습관; 익숙하다,привычка; привыкать,Gewohnheit; sich gewöhnen,costumbre; acostumbrarse
洗手间,xǐ shǒu jiān,Restroom,ห้องน้ำ/ห้องส้วม,nhà vệ sinh,ຫ້ອງນ້ຳ,toilettes/WC,お手洗い,화장실,туалет,Toilette/WC,baño/servicio
洗澡,xǐ zǎo,Take a shower,อาบน้ำ,tắm,ອາບນ້ຳ,se laver/prendre une douche,お風呂に入る/シャワーする,목욕하다,мыться/принимать душ,baden/duschen,bañarse/ducharse
夏,xià,summer,ฤดูร้อน,mùa hè,ລະດູຮ້ອນ,été,夏,夏/여름,лето,Sommer,verano
先,xiān,first,ก่อน/อันดับแรก,trước/đầu tiên,ກ່ອນ,d’abord/avant,まず/先に,먼저/우선,сначала/прежде,zuerst,primero/antes
香蕉,xiāng jiāo,Banana,กล้วย,chuối,ກ້ວຍ,banane,バナナ,바나나,банан,Banane,plátano/banana
相信,xiāng xìn,believe,เชื่อ/ไว้ใจ,tin tưởng/tin,ເຊື່ອ/ໄວ້ໃຈ,croire/avoir confiance,信じる/信用する,믿다/신뢰하다,верить/доверять,glauben/vertrauen,creer/confiar
向,xiàng,towards,ไปยัง/หันไปทาง,hướng về,ຫັນໄປທາງ/ສູ່,vers/en direction de,〜へ/〜に向けて,향하다/…쪽으로,к/по направлению к,nach/zu,hacia
像,xiàng,image,เหมือน/คล้าย,như/giống như,ຄ້າຍ/ຄື,ressembler à/ comme,〜のようだ/似ている,…같다/닮다,похожий/как,ähnlich/wie,parecido/a como
小心,xiǎo xīn,watch out,ระวัง/ด้วยความระมัดระวัง,cẩn thận/chú ý,ລະມັດລະວັງ,faire attention/prudemment,気をつける/用心深く,조심하다/조심히,осторожно/остерегаться,vorsichtig/aufpassen,cuidado/ten cuidado
校长,xiào zhǎng,Principal,ครูใหญ่/ผอ.,hiệu trưởng,ຜູ້ອໍານວຍການໂຮງຮຽນ,proviseur/directeur,校長,교장,директор школы,Schulleiter/in,director/a (de escuela)
新闻,xīn wén,news,ข่าว/ข่าวสาร,tin tức,ຂ່າວ,nouvelles/informations,ニュース,뉴스/소식,новости,Nachrichten,noticias
新鲜,xīn xiān,fresh,สดใหม่/สดชื่น,tươi mới,ສົດໃໝ່,frais (aliment)/neuf,新鮮,신선하다,свежий,frisch,fresco
信用卡,xìn yòng kǎ,Credit card,บัตรเครดิต,thẻ tín dụng,ບັດເຄຣດິດ,carte de crédit,クレジットカード,신용카드,кредитная карта,Kreditkarte,tarjeta de crédito
行李箱,xíng lǐ xiāng,Trunk,กระเป๋าเดินทางแข็ง,vali/va-li kéo,ກະເປົາເດີນທາງ,valise (à coque)/bagage,スーツケース,캐리어/여행가방,чемодан,Koffer,maleta
熊猫,xióng māo,Panda,แพนด้า,gấu trúc,ແພນດ້າ,panda,パンダ,판다,панда,Panda,panda
需要,xū yào,Need,จำเป็น/ต้องการ,cần/nhu cầu,ຈຳເປັນ/ຕ້ອງການ,avoir besoin/besoin,必要/要る,필요하다,нуждаться/необходимо,brauchen/benötigen,necesitar
选择,xuǎn zé,Choice,เลือก/ตัวเลือก,lựa chọn,ເລືອກ,choisir/choix,選ぶ/選択,선택하다,выбирать/выбор,wählen/Auswahl,elegir/opción
要求,yāo qiú,Requirement,ขอ/ความต้องการ,yêu cầu/đòi hỏi,ຮ້ອງຂໍ/ຕ້ອງການ,demander/exiger,要求/要望,요구하다/요건,требовать/требование,verlangen/Anforderung,pedir/exigir
爷爷,yé ye,grandpa,คุณปู่ (ฝ่ายพ่อ),ông nội,ປູ່,grand-père (patern.),祖父（父方）,할아버지(친),дедушка (по отцу),Großvater (väterl.),abuelo (paterno)
一定,yí dìng,Certain,แน่นอน/ต้อง,nhất định/chắc chắn,ແນ່ນອນ,certainement,きっと/必ず,반드시/틀림없이,обязательно/несомненно,bestimmt/auf jeden Fall,seguro/ciertamente
一共,yí gòng,Altogether,รวมแล้ว/ทั้งสิ้น,tổng cộng,ລວມແລ້ວ,au total/en tout,全部で/合計で,합계/전부,всего/итого,insgesamt,en total
一会儿,yí huìr,a while,สักครู่/เดี๋ยว,một lát/chốc lát,ແປບດຽວ,un moment/un peu,ちょっとの間,잠깐/잠시,немного/минутку,kurz/einen Moment,un rato/un momento
一样,yí yàng,equally,เหมือนกัน/เท่ากัน,giống hệt/như nhau,ເຫມືອນກັນ,pareil/identique,同じだ/同様,같다/똑같다,одинаковый/такой же,gleich/gleichartig,igual/lo mismo
以前,yǐ qián,before,ก่อนหน้านี้/เมื่อก่อน,trước đây,ກ່ອນນີ້,avant/autrefois,以前/前に,이전에/전에,раньше/прежде,früher/vorher,antes
一般,yì bān,commonly,ทั่วไป/ธรรมดา,bình thường/thông thường,ທົ່ວໄປ/ທຳມະດາ,en général/ordinaire,一般的/ふつう,보통/일반적으로,обычно/обычный,im Allgemeinen/gewöhnlich,generalmente/normal
一边,yì biān,One side,ขณะเดียวกัน/ไป…ไป…,vừa … vừa …,ພ້ອມກັນ/ເຮັດ…ຄູ່ກັນ,en même temps/à la fois,〜しながら/〜すると同時に,…하면서,одновременно/…делая…,während/gleichzeitig,mientras…/al mismo tiempo
一直,yì zhí,always,ตลอด/โดยตลอด,suốt/luôn luôn,ຕະຫຼອດ,toujours/sans cesse,ずっと/絶えず,계속/줄곧,всё время/постоянно,die ganze Zeit/immer,todo el tiempo/siempre
音乐,yīn yuè,Music,ดนตรี/เพลง,âm nhạc,ດົນຕີ,musique,音楽,음악,музыка,Musik,música
银行,yín háng,Bank,ธนาคาร,ngân hàng,ທະນາຄານ,banque,銀行,은행,банк,Bank,banco
饮料,yǐn liào,Drinks,เครื่องดื่ม,đồ uống,ເຄື່ອງດື່ມ,boisson,飲み物,음료,напиток,Getränk,bebida
应该,yīng gāi,Should,ควรจะ,nên,ຄວນ,devrait/il faut,〜べきだ,~해야 한다,следует/нужно,sollte/soll,debería
影响,yǐng xiǎng,Influence,มีผลกระทบ/กระทบต่อ,ảnh hưởng/tác động,ມີອິດທິພົນ,influencer/impact,影響する/影響,영향을 미치다,влиять/влияние,beeinflussen/Einfluss,influir/influencia
用,yòng,use,ใช้/ด้วย,dùng/bằng,ໃຊ້,utiliser/avec,使う/用いて,사용하다/…로,использовать/с,benutzen/mit,usar/con
游戏,yóu xì,Game,เกม/เล่นเกม,trò chơi,ເກມ/ຫຼິ້ນເກມ,jeu,ゲーム,게임,игра/игры,Spiel,juego
有名,yǒu míng,Famous,มีชื่อเสียง/ดัง,nổi tiếng,ມີຊື່ສຽງ,célèbre/renommé,有名だ/名高い,유명하다,известный,berühmt,famoso
又,yòu,again,อีกครั้ง/ทั้ง…และ…,lại; vừa…lại…,ອີກ/ທັງ…ທັງ…,de nouveau; et… et…,また/さらに,또/또한,снова; и… и…,wieder; sowohl…als auch,otra vez; y…y…
遇到,yù dào,encounter,เจอ/พบกับ,gặp phải/gặp,ພົບ/ເຈີ,rencontrer/se heurter à,出会う/遭遇する,만나다/부딪치다,встретить/столкнуться,begegnen/stoßen auf,encontrarse con/toparse
元,yuán,element/yuan,หยวน (เงินจีน),nhân dân tệ (nguyên),ຢວນ,yuán (monnaie),元（通貨単位）,위안,юань,Yuan,yuan
愿意,yuàn yì,Be willing,ยินดี/เต็มใจ,sẵn lòng/bằng lòng,ຍິນດີ/ເຕັມໃຈ,être disposé à,〜する気がある,기꺼이 …하다,быть готовым/хотеть,bereit sein/gern wollen,estar dispuesto a/querer
月亮,yuè liang,Moon,พระจันทร์/ดวงจันทร์,mặt trăng,ດວງຈັນ,lune,月,月/달,луна,Mond,luna
越,yuè,the more,ยิ่ง…ยิ่ง…,càng… càng…,ຍິ່ງ… ຍິ່ງ…,plus… plus…,〜すればするほど,…할수록 더…,чем… тем…,je … desto …,cuanto más… más…
站,zhàn,station,ยืน/สถานี,đứng; ga/trạm,ຢືນ; ສະຖານີ,se tenir debout; station,立つ; 駅/停留所,서다; 역/정류장,стоять; станция,stehen; Station,estar de pie; estación
张,zhāng,Zhang (surname),แผ่น/ใบ (ลน.),tờ/tấm (lượng từ),ແຜ່ນ/ໃບ (ລວມ),classif. objets plats,枚/一枚 (量詞),"장 (양사, 평평)",сч. сл. для плоских,Zählwort flache Dinge,clasificador para planos
长 (动词),zhǎng(v),grow,เติบโต/โตขึ้น,lớn lên; mọc,ເຕີບໃຫຍ່; ງອກ,grandir; pousser,成長する; 生える,자라다; 나다,расти; отрастать,wachsen,crecer
着急,zháo jí,Worry,ร้อนใจ/รีบเร่ง,lo lắng/vội,ຮ້ອນໃຈ/ລົດລ້ຽວ,se presser/s’inquiéter,焦る/慌てる,조급해하다/걱정하다,волноваться/торопиться,in Eile sein/sich sorgen,apresurarse/preocuparse
照顾,zhào gù,look after,ดูแล/เอาใจใส่,chăm sóc,ດູແລ,s’occuper de/soigner,世話をする,돌보다,заботиться/ухаживать,sich kümmern/versorgen,cuidar/atender
照片,zhào piàn,Photo,รูปถ่าย,ảnh,ຮູບຖ່າຍ,photo,写真,사진,фотография,Foto,foto
照相机,zhào xiàng jī,Camera,กล้องถ่ายรูป,máy ảnh,ກ້ອງຖ່າຍຮູບ,appareil photo,カメラ,사진기,фотоаппарат,Fotoapparat/Kamera,cámara (de fotos)
只 (量词),zhī(m),(measure word),ตัว (สัตว์/นก),con (động vật),ຕົວ (ສັດ/ນົກ),classif. animaux,匹/羽/頭 (量詞),마리 (양사),сч. сл. для животных,Zählwort Tiere,clasificador animales
只 (副词),zhǐ(adv),only,เพียง/แค่,chỉ/chỉ có,ເພີຍ/ແຕ່,seulement,ただ/～だけ,단지/오직,только/лишь,nur,solo
只有…… 才……,zhǐ yǒu…cái…,only if,มีแต่…ถึงจะ…,chỉ có… mới…,ມີແຕ່… ຈຶ່ງ…,il faut… pour…,…してこそ…,…해야 …한다,только если… то…,nur wenn … dann …,solo si… entonces…
中文,zhōng wén,Chinese,ภาษาจีน,tiếng Trung (vănเขียน),ພາສາຈີນ,chinois (langue),中国語/中文,중국어/중문,китайский (письм.),Chinesisch (Sprache),chino (idioma)
中间,zhōng jiān,Middle,ตรงกลาง,ở giữa,ກາງ/ກາງໆ,au milieu/entre,真ん中/中間,가운데/중간,посередине/середина,in der Mitte,en medio/centro
终于,zhōng yú,finally,ในที่สุด/ท้ายสุด,cuối cùng,ໃນທີ່ສຸດ,enfin/finalement,ついに/とうとう,마침내,наконец,endlich,por fin/finalmente
种,zhǒng,species,ชนิด/ประเภท,loại,ປະເພດ,genre/espèce,種類/タイプ,종류,вид/тип,Art/Sorte,tipo/clase
重要,zhòng yào,important,สำคัญ,quan trọng,ສຳຄັນ,important,重要,중요하다,важный,wichtig,importante
周末,zhōu mò,Weekend,สุดสัปดาห์,cuối tuần,ທ້າຍອາທິດ,week-end,週末,주말,выходные,Wochenende,fin de semana
主要,zhǔ yào,main,หลัก/สำคัญ,chủ yếu/chính,ຫຼັກ/ສຳຄັນ,principal,主要な/主に,주요한/주로,главный/основной,hauptsächlich/wichtigste,principal
注意,zhù yì,Be careful,ระวัง/ใส่ใจ,chú ý/cẩn thận,ລະວັງ/ໃສ່ໃຈ,faire attention,注意する,주의하다/유의하다,обращать внимание/осторожно,achten/Beachtung schenken,prestar atención/cuidado
自己,zì jǐ,Own/self,ตัวเอง/ด้วยตนเอง,bản thân/tự mình,ຕົວເອງ,soi-même,自分/自身,자기 자신/스스로,сам/собственный,selbst/eigen,uno mismo/propio
自行车,zì xíng chē,Bicycle,จักรยาน,xe đạp,ລົດຖີບ,vélo/bicyclette,自転車,자전거,велосипед,Fahrrad,bicicleta
总是,zǒng shì,always,มักจะ/เสมอ,luôn/luôn luôn,ມັກຈະ,toujours,いつも/常に,항상/늘,всегда,immer,siempre
嘴,zuǐ,mouth,ปาก,miệng,ປາກ,bouche,口/くち,입,рот,Mund,boca
最后,zuì hòu,Last,สุดท้าย/ท้ายสุด,cuối cùng/sau chót,ສຸດທ້າຍ,dernier/finalement,最後/最終,마지막/최후,последний/в конце,zuletzt/letzte,último/al final
最近,zuì jìn,lately,เมื่อเร็วๆนี้/ระยะนี้,gần đây/dạo này,ໃນຊ່ວງນີ້/ໃນໄມ່ດົນ,récemment/ces temps-ci,最近/このごろ,최근/요즘,недавно/в последнее время,kürzlich/in letzter Zeit,recientemente/últimamente
作业,zuò yè,homework,การบ้าน,bài tập về nhà,ວຽກບ້ານ,devoirs (maison),宿題,숙제,домашнее задание,Hausaufgaben,tarea (deberes)
